travel_time_sec,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),visibility (m),wind_speed_10m (km/h),bias
478,-1.2,0,46,42300,19.9,1
478,-1.2,0,46,42300,19.9,1
454,-2.3,0,50,36500,18.4,1
446,-2.3,0,50,36500,18.4,1
463,-3.7,0,47,41600,22.4,1
467,-2.7,0,51,35000,14.3,1
453,-2.7,0,51,35000,14.3,1
489,-3.6,0,52,32700,9.2,1
444,-0.3,0,40,43500,23.1,1
460,-0.3,0,40,43500,23.1,1
496,-2.7,0,52,36200,13.5,1
491,-2.9,0,50,34300,14.1,1
476,-3,0,51,37200,11,1
479,-3.7,0,53,30100,9.6,1
466,-2.8,0,57,31600,8.6,1
472,-0.8,0,50,40300,22.3,1
482,0.7,0,42,45700,24.9,1
545,0.5,0,40,50300,27.4,1
537,0.6,0,39,49800,26.3,1
458,-1.3,0,48,40200,18.8,1
457,-2.5,0,51,36000,20.5,1
434,-2.7,0,52,34000,14.2,1
445,-2.9,0,50,33900,13.6,1
452,-2.9,0,51,35400,13,1
470,-3.4,0,53,29400,10.3,1
456,-2.4,0,56,32600,14.7,1
465,-2.4,0,56,32600,14.7,1
504,-0.6,0,48,41700,24,1
467,0,0,41,46800,24.6,1
459,0.4,0,41,49200,27,1
459,-0.1,0,40,46700,25.6,1
459,-0.4,0,38,43500,23.2,1
477,-1.6,0,49,39700,16.6,1
454,-2.7,0,51,35300,21.1,1
470,-2.8,0,50,37900,18.5,1
548,0,0,41,47100,26,1
493,-0.2,0,38,51600,24,1
458,-2.5,0,48,38600,15,1
441,-2.5,0,48,38600,15,1
454,-7.4,0,56,32000,15.3,1
459,-7.4,0,56,32000,15.3,1
442,-7.4,0,56,32000,15.3,1
539,-7.8,0,55,34200,14.8,1
477,-7.8,0,55,34200,14.8,1
509,-7.8,0,55,34200,14.8,1
726,-7.8,0,57,32000,16,1
807,-7.8,0,57,32000,16,1
826,-7.8,0,57,32000,16,1
468,-7.5,0,56,34300,17.2,1
454,-7.5,0,56,34300,17.2,1
454,-7.5,0,56,34300,17.2,1
662,-7.8,0,57,32900,13.7,1
544,-7.8,0,57,32900,13.7,1
470,-7.9,0,56,34300,15.4,1
482,-7.9,0,56,34300,15.4,1
524,-7.8,0,57,33400,13.1,1
462,-7.8,0,57,33400,13.1,1
467,-7.6,0,56,36200,17.8,1
449,-7.6,0,56,36200,17.8,1
460,-7.8,0,56,32400,16.2,1
477,-7.8,0,56,32400,16.2,1
483,-7.8,0,56,32400,16.2,1
473,-7.8,0,58,34100,12.8,1
498,-7.8,0,58,34100,12.8,1
780,-7.8,0,58,34100,12.8,1
446,-7.8,0,55,37100,17.5,1
488,-7.8,0,55,37100,17.5,1
